Product Name,Unit,Unit Value
Toor Dal (thuvaram Paruppu),500,G
Papaya (pappali),1,PS
Moong Dhal (split) (paasi Paruppu) (nattu),500,G
Carrot ,250,G
Guava (koyya),500,G
Channa Dhal (kadalai Paruppu),500,G
Beans,250,G
Ragi/கேழ்வரகு /ராகி,1,PS
Thinai(unpolised)/திணை,1,PS
Herbal Country Sugar/மூலிகை நாட்டு சர்க்கரை,1,PS
Green Gram (paasi Payiru) (nattu),1,PS
Cluster Bean (kotthavarangai),250,G
Herbal Soap Kuppaimeni/குப்பைமேனி மூலிகை சோப்பு,1,PS
Bengal Gram,1,PS
Activated Charcoal Soap,1,PS
Thatta Payiru (red)/தட்டை பயிறு(சிவப்பு),1,PS
Amla (nelli Kai),200,G
Big Urad/உழுத்தம் பருப்பு,1,PS
Black Urad Dal(broken) (karuppu Ulundham Paruppu),500,G
Rose (herbal)  Soap (f2b) 100 Gm,1,PS
Mushroom/காளான்,1,PS
Aloe Vera Herbal Soap/அலோ வேரா மூலிகை சோப்,1,PS
Orange Peel Herbal Soap/ஆரஞ்சு தோல் மூலிகை சோப்,1,PS
Wheat/கோதுமை,1,PS
Horse Gram (kollu),500,G
Lady's Finger (vendaikai),250,G
Green Capsicum (kudai Milagai),250,G
Black Urad (unbroken)/கருப்பு உழுத்தம்பருப்பு,1,PS
Snake Guard (pudalangai),250,G
Mint (pudina Kattu),1,PS
Raw Mango (maangai),500,G
White Channa (vellai Sundal),500,G
Drum Stick (murungai Kai),3,PS
Curry Leaves (karuvepillai),1,PS
Coriander Leaf (kotthamali Kattu),1,PS
Brinjal (kathiri Kai),500,G
Ridge Gourd (peerkan Kai),500,G
Black Pepper/மிளகு,1,PS
Bitter Guard (pava Kai) -long,250,G
Yellow Pumpkin (manjal Poosani Kai),500,G
Siru Keerai/சிறு கீரை,1,PS
Broadbeans (avarai),250,G
Cardamon/ஏலக்காய்,1,PS
Mulai Keerai/முளை கீரை,1,PS
Bottle Guard (surai Kai),500,G
Colocasia,500,G
Thandu Keerai/தண்டு கீரை,1,PS
Ivy Guard (kovai Kai),250,G
Raddish (mullangi),250,G
Red Dry Chilli/வர மிளகாய்,1,PS
Fenugreek/வெந்தயம்,1,PS
Palak Keerai/பாலக் கீரை,1,PS
